Transaction_ID,Order_Date,Product_ID,Product_Name,Category,Unit_Price,Quantity,Total_Sales,Customer_ID,Store_ID,City,Payment_Method,Month
T1019,16-05-2024,P1002,Wheat Flour,Grocery,404,9,3636,C887,S03,Hyderabad,Card,5
T1020,02-01-2024,P3002,Chips,Snacks,252,3,756,C839,S03,Chennai,Cash,1
T1021,16-11-2024,P4002,Butter,Dairy,465,2,930,C405,S02,Mumbai,Card,11
T1022,28-09-2024,P1003,Cooking Oil,Grocery,418,9,3762,C100,S03,Bangalore,Cash,9
T1023,06-06-2024,P1002,Wheat Flour,Grocery,469,6,2814,C345,S01,Mumbai,UPI,6
T1024,05-09-2024,P1002,Wheat Flour,Grocery,394,2,788,C935,S01,Chennai,Cash,9
T1025,25-03-2024,P1003,Cooking Oil,Grocery,301,8,2408,C371,S04,Mumbai,UPI,3
T1026,09-12-2024,P2001,Shampoo,Personal Care,224,5,1120,C765,S03,Bangalore,UPI,12
T1027,25-04-2024,P4001,Milk,Dairy,146,2,292,C165,S03,Hyderabad,UPI,4
T1028,22-04-2024,P4002,Butter,Dairy,321,4,1284,C107,S01,Kolkata,UPI,4
T1029,17-01-2024,P1001,Rice,Grocery,54,4,216,C980,S03,Hyderabad,UPI,1
T1030,05-09-2024,P2001,Shampoo,Personal Care,362,5,1810,C319,S02,Kolkata,UPI,9
T1031,30-08-2024,P5001,Soft Drink,Beverages,144,8,1152,C926,S04,Mumbai,Cash,8
T1032,04-08-2024,P1002,Wheat Flour,Grocery,201,7,1407,C520,S04,Kolkata,Cash,8
T1033,22-06-2024,P1002,Wheat Flour,Grocery,226,1,226,C919,S01,Mumbai,Cash,6
T1034,12-03-2024,P2001,Shampoo,Personal Care,249,9,2241,C532,S02,Delhi,Card,3
T1035,08-10-2024,P2001,Shampoo,Personal Care,246,2,492,C200,S01,Kolkata,UPI,10
T1036,01-05-2024,P1001,Rice,Grocery,494,2,988,C270,S04,Bangalore,Card,5
T1037,31-01-2024,P2001,Shampoo,Personal Care,482,7,3374,C268,S04,Hyderabad,Card,1
T1038,04-08-2024,P2002,Soap,Personal Care,166,8,1328,C813,S04,Mumbai,Cash,8
T1039,23-10-2024,P2002,Soap,Personal Care,49,4,196,C853,S01,Kolkata,Card,10
T1040,01-09-2024,P1001,Rice,Grocery,319,1,319,C614,S02,Hyderabad,UPI,9
T1041,31-10-2024,P1002,Wheat Flour,Grocery,55,3,165,C169,S02,Bangalore,Cash,10
T1042,31-10-2024,P5001,Soft Drink,Beverages,316,4,1264,C140,S01,Bangalore,UPI,10
T1043,10-06-2024,P5001,Soft Drink,Beverages,287,10,2870,C367,S02,Kolkata,UPI,6
T1044,21-07-2024,P3001,Biscuits,Snacks,155,4,620,C234,S03,Bangalore,Card,7
T1045,14-11-2024,P1002,Wheat Flour,Grocery,254,1,254,C676,S01,Hyderabad,UPI,11
T1046,08-03-2024,P2001,Shampoo,Personal Care,155,9,1395,C457,S01,Mumbai,Card,3
T1047,05-10-2024,P2002,Soap,Personal Care,244,3,732,C820,S03,Chennai,UPI,10
T1048,10-10-2024,P4002,Butter,Dairy,361,1,361,C406,S01,Mumbai,Card,10
T1049,10-10-2024,P1002,Wheat Flour,Grocery,400,2,800,C259,S03,Delhi,UPI,10
T1050,17-12-2024,P2001,Shampoo,Personal Care,124,6,744,C749,S03,Chennai,Card,12
T1051,20-11-2024,P2002,Soap,Personal Care,67,1,67,C533,S03,Hyderabad,Cash,11
T1052,14-05-2024,P3001,Biscuits,Snacks,346,3,1038,C265,S04,Chennai,UPI,5
T1053,27-02-2024,P3002,Chips,Snacks,24,9,216,C177,S02,Chennai,Cash,2
T1054,16-03-2024,P3001,Biscuits,Snacks,302,10,3020,C540,S02,Hyderabad,Card,3
T1055,02-07-2024,P3001,Biscuits,Snacks,480,1,480,C315,S02,Kolkata,Cash,7
T1056,27-07-2024,P3001,Biscuits,Snacks,472,9,4248,C735,S02,Mumbai,Cash,7
T1057,01-04-2024,P1003,Cooking Oil,Grocery,32,7,224,C854,S03,Bangalore,UPI,4
T1058,25-12-2024,P2001,Shampoo,Personal Care,101,5,505,C210,S04,Hyderabad,Card,12
T1059,23-08-2024,P2001,Shampoo,Personal Care,438,4,1752,C458,S03,Mumbai,Cash,8
T1060,17-06-2024,P1001,Rice,Grocery,224,4,896,C385,S01,Delhi,Card,6
T1061,01-10-2024,P4002,Butter,Dairy,367,7,2569,C439,S01,Hyderabad,Card,10
T1062,20-01-2024,P1003,Cooking Oil,Grocery,155,10,1550,C211,S04,Delhi,UPI,1
T1063,18-09-2024,P3001,Biscuits,Snacks,330,7,2310,C218,S04,Chennai,Cash,9
T1064,11-08-2024,P2002,Soap,Personal Care,382,1,382,C101,S02,Delhi,Card,8
T1065,09-06-2024,P1002,Wheat Flour,Grocery,339,6,2034,C779,S01,Kolkata,Card,6
T1066,28-07-2024,P4002,Butter,Dairy,361,5,1805,C434,S04,Kolkata,Card,7
T1067,03-08-2024,P4002,Butter,Dairy,118,3,354,C780,S04,Kolkata,UPI,8
T1068,03-06-2024,P1003,Cooking Oil,Grocery,311,10,3110,C515,S01,Delhi,Card,6
T1069,23-10-2024,P2001,Shampoo,Personal Care,422,7,2954,C721,S03,Bangalore,Card,10
T1070,30-08-2024,P4001,Milk,Dairy,281,4,1124,C912,S02,Kolkata,Cash,8
T1071,20-11-2024,P2002,Soap,Personal Care,359,9,3231,C734,S03,Hyderabad,Cash,11
T1072,11-04-2024,P2002,Soap,Personal Care,432,4,1728,C250,S01,Hyderabad,Cash,4
T1073,07-02-2024,P4001,Milk,Dairy,455,10,4550,C566,S04,Kolkata,UPI,2
T1074,23-07-2024,P2001,Shampoo,Personal Care,273,7,1911,C349,S02,Kolkata,UPI,7
T1075,05-08-2024,P1001,Rice,Grocery,418,2,836,C324,S02,Kolkata,UPI,8
T1076,07-05-2024,P4001,Milk,Dairy,305,1,305,C968,S01,Bangalore,Cash,5
T1077,31-10-2024,P4001,Milk,Dairy,306,9,2754,C424,S04,Chennai,UPI,10
T1078,07-10-2024,P4002,Butter,Dairy,445,7,3115,C556,S02,Kolkata,Card,10
T1079,06-05-2024,P4001,Milk,Dairy,404,5,2020,C960,S03,Chennai,Card,5
T1080,09-02-2024,P2001,Shampoo,Personal Care,245,5,1225,C830,S03,Mumbai,Card,2
T1081,03-10-2024,P3001,Biscuits,Snacks,477,6,2862,C182,S02,Mumbai,Cash,10
T1082,19-04-2024,P3002,Chips,Snacks,381,3,1143,C165,S04,Bangalore,Card,4
T1083,01-02-2024,P4002,Butter,Dairy,232,8,1856,C311,S04,Bangalore,UPI,2
T1084,01-09-2024,P1001,Rice,Grocery,214,10,2140,C106,S03,Delhi,Card,9
T1085,06-10-2024,P3002,Chips,Snacks,402,9,3618,C919,S02,Bangalore,Cash,10
T1086,15-01-2024,P2002,Soap,Personal Care,268,7,1876,C498,S03,Kolkata,UPI,1
T1087,27-08-2024,P3002,Chips,Snacks,450,3,1350,C230,S01,Bangalore,UPI,8
T1088,25-11-2024,P5001,Soft Drink,Beverages,62,1,62,C538,S02,Bangalore,Cash,11
T1089,16-06-2024,P1001,Rice,Grocery,214,5,1070,C316,S04,Delhi,Card,6
T1090,03-08-2024,P3002,Chips,Snacks,405,5,2025,C358,S01,Bangalore,Cash,8
T1091,24-04-2024,P4002,Butter,Dairy,199,1,199,C765,S01,Kolkata,Cash,4
T1092,11-01-2024,P1001,Rice,Grocery,122,4,488,C736,S02,Mumbai,Cash,1
T1093,21-04-2024,P4001,Milk,Dairy,308,2,616,C576,S03,Delhi,Cash,4
T1094,28-02-2024,P5001,Soft Drink,Beverages,402,10,4020,C896,S02,Delhi,Cash,2
T1095,08-06-2024,P5001,Soft Drink,Beverages,495,1,495,C689,S04,Bangalore,UPI,6
T1096,19-12-2024,P2001,Shampoo,Personal Care,323,2,646,C950,S02,Hyderabad,UPI,12
T1097,02-03-2024,P2002,Soap,Personal Care,432,10,4320,C915,S01,Delhi,UPI,3
T1098,16-09-2024,P3002,Chips,Snacks,55,6,330,C763,S03,Hyderabad,Card,9
T1099,04-07-2024,P4001,Milk,Dairy,241,2,482,C750,S04,Kolkata,Cash,7
T1100,24-09-2024,P3002,Chips,Snacks,395,3,1185,C766,S03,Chennai,UPI,9
T1101,30-10-2024,P4001,Milk,Dairy,243,8,1944,C374,S03,Mumbai,Cash,10
T1102,25-08-2024,P2002,Soap,Personal Care,144,8,1152,C683,S04,Delhi,Cash,8
T1103,06-09-2024,P4001,Milk,Dairy,113,6,678,C317,S03,Delhi,Card,9
T1104,21-05-2024,P2002,Soap,Personal Care,379,10,3790,C669,S01,Chennai,Cash,5
T1105,27-07-2024,P1002,Wheat Flour,Grocery,388,4,1552,C600,S02,Kolkata,Card,7
T1106,09-01-2024,P4001,Milk,Dairy,425,8,3400,C195,S03,Mumbai,Card,1
T1107,24-10-2024,P2001,Shampoo,Personal Care,359,5,1795,C477,S04,Chennai,UPI,10
T1108,08-10-2024,P3001,Biscuits,Snacks,401,7,2807,C438,S03,Kolkata,Card,10
T1109,28-04-2024,P2002,Soap,Personal Care,148,5,740,C223,S02,Delhi,Cash,4
T1110,20-04-2024,P4002,Butter,Dairy,118,3,354,C856,S04,Delhi,UPI,4
T1111,24-05-2024,P5001,Soft Drink,Beverages,325,9,2925,C202,S02,Delhi,Cash,5
T1112,08-01-2024,P3001,Biscuits,Snacks,174,3,522,C825,S02,Delhi,Cash,1
T1113,23-12-2024,P1001,Rice,Grocery,169,9,1521,C229,S04,Hyderabad,Cash,12
T1114,02-09-2024,P5001,Soft Drink,Beverages,260,5,1300,C551,S03,Mumbai,Cash,9
T1115,03-02-2024,P2002,Soap,Personal Care,78,8,624,C510,S04,Hyderabad,UPI,2
T1116,15-10-2024,P1001,Rice,Grocery,96,3,288,C411,S01,Mumbai,Cash,10
T1117,01-11-2024,P4002,Butter,Dairy,330,7,2310,C909,S02,Chennai,Card,11
T1118,28-10-2024,P4001,Milk,Dairy,172,8,1376,C539,S03,Chennai,UPI,10
T1119,20-02-2024,P1001,Rice,Grocery,398,10,3980,C881,S02,Kolkata,Cash,2
T1120,02-05-2024,P2002,Soap,Personal Care,100,2,200,C277,S01,Mumbai,Cash,5
T1121,31-10-2024,P3002,Chips,Snacks,372,8,2976,C581,S03,Hyderabad,Cash,10
T1122,20-08-2024,P2002,Soap,Personal Care,379,5,1895,C172,S02,Delhi,UPI,8
T1123,28-02-2024,P5001,Soft Drink,Beverages,237,4,948,C657,S02,Kolkata,Cash,2
T1124,31-01-2024,P2002,Soap,Personal Care,56,3,168,C269,S03,Chennai,UPI,1
T1125,04-03-2024,P5001,Soft Drink,Beverages,244,5,1220,C579,S03,Kolkata,Card,3
T1126,09-09-2024,P2002,Soap,Personal Care,296,9,2664,C548,S01,Chennai,Cash,9
T1127,08-05-2024,P3002,Chips,Snacks,329,6,1974,C126,S01,Mumbai,UPI,5
T1128,10-12-2024,P5001,Soft Drink,Beverages,30,10,300,C941,S03,Chennai,Cash,12
T1129,29-11-2024,P1003,Cooking Oil,Grocery,285,8,2280,C552,S03,Mumbai,UPI,11
T1130,28-08-2024,P3002,Chips,Snacks,66,8,528,C456,S04,Delhi,Card,8
T1131,29-07-2024,P1002,Wheat Flour,Grocery,188,3,564,C810,S04,Delhi,UPI,7
T1132,20-08-2024,P3002,Chips,Snacks,38,9,342,C190,S03,Delhi,Card,8
T1133,20-09-2024,P1002,Wheat Flour,Grocery,462,7,3234,C944,S01,Kolkata,UPI,9
T1134,06-04-2024,P4001,Milk,Dairy,47,7,329,C630,S03,Chennai,Card,4
T1135,16-05-2024,P4001,Milk,Dairy,124,1,124,C662,S02,Delhi,Card,5
T1136,18-11-2024,P4001,Milk,Dairy,34,2,68,C723,S02,Kolkata,Cash,11
T1137,09-10-2024,P2002,Soap,Personal Care,27,9,243,C517,S01,Mumbai,Cash,10
T1138,19-03-2024,P4001,Milk,Dairy,351,2,702,C610,S03,Chennai,UPI,3
T1139,04-09-2024,P2002,Soap,Personal Care,447,7,3129,C583,S02,Bangalore,UPI,9
T1140,02-11-2024,P1003,Cooking Oil,Grocery,117,7,819,C620,S02,Hyderabad,Card,11
T1141,16-09-2024,P3002,Chips,Snacks,498,6,2988,C373,S01,Delhi,UPI,9
T1142,03-12-2024,P2002,Soap,Personal Care,316,10,3160,C601,S02,Bangalore,UPI,12
T1143,09-10-2024,P4001,Milk,Dairy,190,6,1140,C881,S04,Bangalore,Card,10
T1144,15-07-2024,P2001,Shampoo,Personal Care,312,4,1248,C339,S04,Hyderabad,Card,7
T1145,05-12-2024,P4001,Milk,Dairy,217,7,1519,C911,S02,Bangalore,Cash,12
T1146,18-06-2024,P1003,Cooking Oil,Grocery,322,9,2898,C990,S01,Bangalore,Cash,6
T1147,14-03-2024,P4002,Butter,Dairy,27,8,216,C519,S02,Hyderabad,Card,3
T1148,20-12-2024,P2002,Soap,Personal Care,339,6,2034,C507,S01,Delhi,UPI,12
T1149,16-11-2024,P4002,Butter,Dairy,182,7,1274,C835,S04,Chennai,Cash,11
T1150,19-11-2024,P5001,Soft Drink,Beverages,140,2,280,C800,S03,Mumbai,UPI,11
T1151,20-11-2024,P1002,Wheat Flour,Grocery,70,7,490,C820,S01,Bangalore,Cash,11
T1152,15-06-2024,P2002,Soap,Personal Care,43,1,43,C915,S01,Delhi,Card,6
T1153,05-05-2024,P3001,Biscuits,Snacks,94,7,658,C643,S04,Chennai,UPI,5
T1154,10-02-2024,P1003,Cooking Oil,Grocery,109,3,327,C724,S04,Chennai,UPI,2
T1155,25-10-2024,P2001,Shampoo,Personal Care,487,8,3896,C246,S02,Bangalore,UPI,10
T1156,07-12-2024,P2002,Soap,Personal Care,150,8,1200,C109,S04,Delhi,UPI,12
T1157,14-08-2024,P4002,Butter,Dairy,57,3,171,C453,S03,Kolkata,Card,8
T1158,03-06-2024,P2002,Soap,Personal Care,452,8,3616,C303,S04,Bangalore,Cash,6
T1159,02-07-2024,P2001,Shampoo,Personal Care,312,7,2184,C688,S03,Kolkata,Card,7
T1160,05-01-2024,P1001,Rice,Grocery,160,7,1120,C679,S01,Chennai,UPI,1
T1161,27-04-2024,P4001,Milk,Dairy,417,5,2085,C721,S03,Mumbai,UPI,4
T1162,13-12-2024,P2001,Shampoo,Personal Care,148,10,1480,C873,S02,Kolkata,Cash,12
T1163,13-08-2024,P1001,Rice,Grocery,423,5,2115,C134,S03,Kolkata,Cash,8
T1164,31-07-2024,P1002,Wheat Flour,Grocery,187,5,935,C279,S02,Mumbai,UPI,7
T1165,19-05-2024,P3001,Biscuits,Snacks,276,9,2484,C950,S02,Delhi,Card,5
T1166,28-02-2024,P2002,Soap,Personal Care,431,6,2586,C579,S01,Mumbai,Cash,2
T1167,16-02-2024,P3002,Chips,Snacks,207,9,1863,C909,S04,Hyderabad,Card,2
T1168,07-07-2024,P4002,Butter,Dairy,252,2,504,C788,S03,Chennai,Card,7
T1169,29-04-2024,P3001,Biscuits,Snacks,365,2,730,C582,S01,Chennai,UPI,4
T1170,27-11-2024,P3001,Biscuits,Snacks,133,10,1330,C164,S04,Kolkata,Card,11
T1171,24-01-2024,P3002,Chips,Snacks,91,2,182,C138,S03,Bangalore,Cash,1
T1172,02-10-2024,P1002,Wheat Flour,Grocery,474,4,1896,C238,S04,Bangalore,Card,10
T1173,20-03-2024,P4002,Butter,Dairy,320,7,2240,C524,S01,Bangalore,UPI,3
T1174,19-12-2024,P3002,Chips,Snacks,36,5,180,C479,S02,Bangalore,Card,12
T1175,17-12-2024,P2001,Shampoo,Personal Care,70,6,420,C476,S03,Hyderabad,Card,12
T1176,20-08-2024,P2002,Soap,Personal Care,82,4,328,C193,S02,Kolkata,UPI,8
T1177,19-06-2024,P5001,Soft Drink,Beverages,45,1,45,C349,S02,Chennai,Cash,6
T1178,27-10-2024,P1002,Wheat Flour,Grocery,126,9,1134,C321,S02,Delhi,Cash,10
T1179,15-03-2024,P5001,Soft Drink,Beverages,161,1,161,C233,S03,Mumbai,Cash,3
T1180,02-07-2024,P1001,Rice,Grocery,27,3,81,C908,S02,Chennai,Card,7
T1181,27-01-2024,P1001,Rice,Grocery,155,3,465,C229,S04,Chennai,Cash,1
T1182,04-07-2024,P1002,Wheat Flour,Grocery,249,8,1992,C625,S01,Bangalore,UPI,7
T1183,03-12-2024,P2001,Shampoo,Personal Care,42,10,420,C633,S03,Bangalore,UPI,12
T1184,24-07-2024,P1001,Rice,Grocery,265,1,265,C536,S01,Bangalore,UPI,7
T1185,11-02-2024,P4001,Milk,Dairy,480,2,960,C429,S02,Hyderabad,Cash,2
T1186,26-10-2024,P2002,Soap,Personal Care,344,10,3440,C661,S03,Bangalore,UPI,10
T1187,15-09-2024,P4002,Butter,Dairy,252,5,1260,C719,S04,Hyderabad,UPI,9
T1188,20-04-2024,P1002,Wheat Flour,Grocery,389,9,3501,C540,S04,Mumbai,Card,4
T1189,31-07-2024,P3001,Biscuits,Snacks,224,8,1792,C847,S01,Delhi,Card,7
T1190,19-03-2024,P3001,Biscuits,Snacks,211,5,1055,C803,S04,Hyderabad,Cash,3
T1191,19-02-2024,P1002,Wheat Flour,Grocery,241,2,482,C862,S03,Mumbai,UPI,2
T1192,14-10-2024,P1001,Rice,Grocery,307,10,3070,C437,S01,Bangalore,Card,10
T1193,03-11-2024,P3002,Chips,Snacks,167,1,167,C419,S03,Hyderabad,UPI,11
T1194,02-12-2024,P4002,Butter,Dairy,99,4,396,C593,S02,Hyderabad,Card,12
T1195,22-05-2024,P4002,Butter,Dairy,78,6,468,C687,S02,Bangalore,UPI,5
T1196,25-11-2024,P5001,Soft Drink,Beverages,365,10,3650,C670,S01,Chennai,UPI,11
T1197,19-05-2024,P2002,Soap,Personal Care,112,1,112,C819,S03,Delhi,Card,5
T1198,14-03-2024,P1001,Rice,Grocery,465,3,1395,C679,S04,Hyderabad,Cash,3
T1199,28-09-2024,P1001,Rice,Grocery,402,2,804,C320,S04,Bangalore,Card,9
T1200,08-06-2024,P3001,Biscuits,Snacks,209,3,627,C838,S03,Chennai,UPI,6
T1201,21-03-2024,P1002,Wheat Flour,Grocery,99,1,99,C872,S01,Kolkata,Cash,3
T1202,05-08-2024,P2002,Soap,Personal Care,358,8,2864,C597,S04,Bangalore,Card,8
T1203,25-06-2024,P2001,Shampoo,Personal Care,78,9,702,C540,S01,Delhi,UPI,6
T1204,07-12-2024,P5001,Soft Drink,Beverages,289,8,2312,C415,S01,Mumbai,Card,12
T1205,14-04-2024,P5001,Soft Drink,Beverages,23,1,23,C408,S02,Mumbai,Card,4
T1206,04-01-2024,P2002,Soap,Personal Care,81,6,486,C609,S04,Mumbai,Cash,1
T1207,27-04-2024,P3002,Chips,Snacks,380,9,3420,C612,S03,Hyderabad,Card,4
T1208,23-08-2024,P1001,Rice,Grocery,29,7,203,C179,S03,Chennai,Card,8
T1209,23-11-2024,P5001,Soft Drink,Beverages,383,7,2681,C527,S03,Hyderabad,Card,11
T1210,12-11-2024,P1001,Rice,Grocery,107,6,642,C571,S03,Hyderabad,Card,11
T1211,28-10-2024,P1002,Wheat Flour,Grocery,243,4,972,C510,S01,Bangalore,Card,10
T1212,27-03-2024,P3001,Biscuits,Snacks,190,4,760,C178,S01,Chennai,UPI,3
T1213,26-11-2024,P2001,Shampoo,Personal Care,199,6,1194,C934,S02,Mumbai,Cash,11
T1214,29-03-2024,P1003,Cooking Oil,Grocery,121,5,605,C716,S02,Kolkata,Cash,3
T1215,15-10-2024,P1003,Cooking Oil,Grocery,257,8,2056,C878,S04,Kolkata,UPI,10
T1216,17-11-2024,P5001,Soft Drink,Beverages,462,6,2772,C423,S02,Bangalore,Cash,11
T1217,04-06-2024,P4001,Milk,Dairy,343,8,2744,C915,S03,Chennai,Cash,6
T1218,07-06-2024,P3001,Biscuits,Snacks,57,9,513,C572,S04,Hyderabad,Cash,6
T1219,26-11-2024,P3001,Biscuits,Snacks,59,5,295,C984,S01,Chennai,UPI,11
T1220,24-10-2024,P4002,Butter,Dairy,256,7,1792,C667,S01,Bangalore,UPI,10
T1221,31-08-2024,P2001,Shampoo,Personal Care,329,6,1974,C613,S02,Hyderabad,Card,8
T1222,13-02-2024,P1002,Wheat Flour,Grocery,385,6,2310,C616,S02,Hyderabad,Cash,2
T1223,24-09-2024,P4001,Milk,Dairy,288,8,2304,C724,S02,Delhi,Card,9
T1224,22-06-2024,P2002,Soap,Personal Care,229,7,1603,C795,S01,Kolkata,UPI,6
T1225,18-02-2024,P3001,Biscuits,Snacks,188,2,376,C671,S04,Delhi,Card,2
T1226,11-02-2024,P5001,Soft Drink,Beverages,190,3,570,C696,S02,Delhi,Card,2
T1227,28-12-2024,P3002,Chips,Snacks,324,3,972,C186,S03,Chennai,Card,12
T1228,25-12-2024,P3001,Biscuits,Snacks,363,3,1089,C948,S01,Kolkata,UPI,12
T1229,10-01-2024,P3002,Chips,Snacks,205,9,1845,C471,S03,Mumbai,Cash,1
T1230,25-04-2024,P3001,Biscuits,Snacks,118,8,944,C240,S02,Hyderabad,Card,4
T1231,03-10-2024,P1002,Wheat Flour,Grocery,414,9,3726,C955,S01,Kolkata,Card,10
T1232,11-07-2024,P5001,Soft Drink,Beverages,325,3,975,C257,S02,Mumbai,UPI,7
T1233,12-08-2024,P5001,Soft Drink,Beverages,389,3,1167,C144,S04,Delhi,UPI,8
T1234,25-05-2024,P2001,Shampoo,Personal Care,332,8,2656,C870,S04,Mumbai,UPI,5
T1235,28-08-2024,P2001,Shampoo,Personal Care,434,5,2170,C955,S02,Delhi,UPI,8
T1236,24-05-2024,P5001,Soft Drink,Beverages,256,8,2048,C896,S04,Chennai,UPI,5
T1237,12-04-2024,P3002,Chips,Snacks,438,3,1314,C920,S02,Delhi,Cash,4
T1238,22-02-2024,P4001,Milk,Dairy,303,6,1818,C828,S01,Delhi,Cash,2
T1239,19-09-2024,P1003,Cooking Oil,Grocery,250,5,1250,C250,S04,Hyderabad,Cash,9
T1240,14-01-2024,P4001,Milk,Dairy,496,6,2976,C524,S01,Bangalore,UPI,1
T1241,11-02-2024,P3001,Biscuits,Snacks,217,4,868,C483,S02,Hyderabad,Card,2
T1242,15-03-2024,P1002,Wheat Flour,Grocery,425,6,2550,C240,S01,Delhi,Card,3
T1243,11-11-2024,P1003,Cooking Oil,Grocery,249,8,1992,C105,S01,Hyderabad,Card,11
T1244,07-11-2024,P2001,Shampoo,Personal Care,300,3,900,C640,S04,Hyderabad,Card,11
T1245,25-01-2024,P2001,Shampoo,Personal Care,82,5,410,C344,S04,Kolkata,UPI,1
T1246,12-09-2024,P4001,Milk,Dairy,76,2,152,C711,S01,Kolkata,UPI,9
T1247,14-03-2024,P5001,Soft Drink,Beverages,387,4,1548,C398,S04,Hyderabad,UPI,3
T1248,01-08-2024,P3001,Biscuits,Snacks,312,4,1248,C291,S01,Chennai,Card,8
T1249,16-09-2024,P1002,Wheat Flour,Grocery,298,9,2682,C905,S01,Bangalore,Card,9
T1250,09-05-2024,P1001,Rice,Grocery,211,7,1477,C865,S01,Delhi,Cash,5
T1251,02-12-2024,P3001,Biscuits,Snacks,395,4,1580,C743,S01,Chennai,UPI,12
T1252,29-06-2024,P3001,Biscuits,Snacks,42,3,126,C659,S03,Kolkata,Cash,6
T1253,03-04-2024,P4001,Milk,Dairy,343,8,2744,C930,S02,Hyderabad,UPI,4
T1254,13-04-2024,P4001,Milk,Dairy,170,1,170,C144,S02,Hyderabad,Card,4
T1255,05-10-2024,P2002,Soap,Personal Care,223,9,2007,C584,S03,Hyderabad,UPI,10
T1256,25-01-2024,P2001,Shampoo,Personal Care,202,5,1010,C986,S03,Delhi,Cash,1
T1257,23-07-2024,P3001,Biscuits,Snacks,475,7,3325,C861,S04,Bangalore,Card,7
T1258,11-09-2024,P1003,Cooking Oil,Grocery,374,8,2992,C476,S03,Hyderabad,UPI,9
T1259,04-11-2024,P3002,Chips,Snacks,240,2,480,C942,S02,Chennai,Card,11
T1260,16-06-2024,P3001,Biscuits,Snacks,60,2,120,C776,S03,Delhi,Card,6
T1261,19-12-2024,P5001,Soft Drink,Beverages,105,7,735,C554,S03,Bangalore,Cash,12
T1262,20-05-2024,P3001,Biscuits,Snacks,242,10,2420,C754,S01,Hyderabad,UPI,5
T1263,13-12-2024,P3002,Chips,Snacks,282,6,1692,C263,S01,Mumbai,UPI,12
T1264,04-02-2024,P4001,Milk,Dairy,84,1,84,C341,S03,Delhi,Card,2
T1265,19-03-2024,P5001,Soft Drink,Beverages,329,1,329,C795,S04,Delhi,Card,3
T1266,11-03-2024,P4001,Milk,Dairy,313,2,626,C642,S03,Bangalore,Card,3
T1267,14-01-2024,P2002,Soap,Personal Care,78,4,312,C853,S02,Bangalore,UPI,1
T1268,14-05-2024,P3002,Chips,Snacks,80,9,720,C893,S03,Kolkata,Card,5
T1269,21-12-2024,P2001,Shampoo,Personal Care,166,10,1660,C602,S02,Hyderabad,Cash,12
T1270,31-12-2024,P1002,Wheat Flour,Grocery,108,8,864,C555,S01,Kolkata,Card,12
T1271,04-10-2024,P3001,Biscuits,Snacks,301,2,602,C397,S03,Mumbai,UPI,10
T1272,24-04-2024,P1003,Cooking Oil,Grocery,280,6,1680,C224,S02,Mumbai,Cash,4
T1273,10-10-2024,P4001,Milk,Dairy,204,1,204,C686,S03,Bangalore,UPI,10
T1274,14-02-2024,P1003,Cooking Oil,Grocery,472,10,4720,C167,S03,Bangalore,UPI,2
T1275,28-07-2024,P4001,Milk,Dairy,230,9,2070,C943,S01,Mumbai,Card,7
T1276,14-12-2024,P1002,Wheat Flour,Grocery,258,8,2064,C629,S03,Mumbai,UPI,12
T1277,07-03-2024,P5001,Soft Drink,Beverages,413,3,1239,C543,S01,Hyderabad,UPI,3
